date,open,high,close,low,volume,price_change,p_change
2017-03-01,1925.7,1938.68,1931.97,1923.75,8144560.5,4.81,0.25
2017-02-28,1926.14,1931.82,1927.16,1918.32,7828431.5,0.39,0.02
2017-02-27,1937.56,1943.98,1926.77,1923.53,9418535.0,-11.67,-0.6
2017-02-24,1925.1,1939.39,1938.44,1921.3,10466620.0,12.49,0.65
2017-02-23,1919.24,1925.95,1925.95,1906.81,9231558.0,5.98,0.31
2017-02-22,1921.55,1925.3,1919.97,1909.12,8582111.0,-1.11,-0.06
2017-02-21,1896.86,1924.03,1921.08,1895.43,10336038.0,26.12,1.38
2017-02-20,1884.99,1894.96,1894.96,1876.67,7227233.5,12.09,0.64
2017-02-17,1896.7,1904.87,1882.87,1881.0,7762939.5,-14.76,-0.78
2017-02-16,1891.87,1900.97,1897.63,1886.41,6811759.5,5.27,0.28
2017-02-15,1911.04,1920.29,1892.36,1890.09,8416104.0,-17.04,-0.89
2017-02-14,1914.14,1918.79,1909.4,1906.41,7436229.0,-4.28,-0.22
2017-02-13,1902.46,1919.2,1913.68,1894.15,8643653.0,9.0,0.47
2017-02-10,1913.23,1915.43,1904.68,1900.71,8299373.5,-9.4,-0.49
2017-02-09,1903.67,1916.41,1914.08,1901.88,8668234.0,10.45,0.55
2017-02-08,1887.34,1903.63,1903.63,1881.14,7381156.0,14.5,0.77
2017-02-07,1897.87,1900.35,1889.13,1881.73,6329100.0,-11.32,-0.6
2017-02-06,1877.14,1903.33,1900.45,1874.71,6581493.0,23.69,1.26
2017-02-03,1886.97,1888.81,1876.76,1872.7,5384174.5,-9.47,-0.5
2017-02-02,1887.87,1928.29,1928.05,1887.87,9518.39,41.82,2.22
2017-01-26,1872.14,1887.67,1886.23,1872.14,6104147.0,15.53,0.83
2017-01-25,1857.32,1874.63,1870.7,1856.22,5672933.0,9.48,0.51
2017-01-24,1885.24,1885.95,1861.22,1859.71,7576958.5,-26.1,-1.38
2017-01-23,1879.97,1897.1,1887.32,1879.71,7235846.5,6.57,0.35
2017-01-20,1844.37,1892.36,1880.75,1842.62,9893890.0,36.61,1.99
2017-01-19,1842.66,1853.11,1844.14,1833.5,5259778.0,-1.65,-0.09
2017-01-18,1860.24,1862.83,1845.79,1845.57,7120459.5,-22.08,-1.18
2017-01-17,1824.1,1875.8,1867.87,1805.39,10685370.0,37.02,2.02
2017-01-16,1897.45,1897.82,1830.85,1783.74,11832232.0,-69.09,-3.64
2017-01-13,1930.11,1934.48,1899.94,1899.11,7458726.5,-30.2,-1.56
2017-01-12,1935.52,1946.59,1930.14,1929.05,6744843.5,-7.41,-0.38
2017-01-11,1947.42,1959.3,1937.55,1932.46,7140994.0,-14.13,-0.72
2017-01-10,1960.1,1967.47,1951.68,1951.18,6318582.0,-9.94,-0.51
2017-01-09,1962.2,1968.87,1961.62,1951.49,7127300.5,-3.41,-0.17
2017-01-06,1980.84,1982.4,1965.03,1963.32,7968772.0,-18.94,-0.95
2017-01-05,1990.7,1993.71,1983.97,1983.84,7664510.5,-7.6,-0.38
